[ClickObjectLog] [2021-12-09T14:01:20.8035415] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:20.8035415] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:20.8035415] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:21.40552] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:21.4065167] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:22.013438] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:22.013438] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:22.013438] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:22.6084422] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:22.6084422] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:22.6084422] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:23.2094461] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:23.2094461] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:23.2104452] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:23.8126579] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:23.8126579] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:24.4158397] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:24.4168362] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:25.0167132] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:25.0178392] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:25.0178392] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:25.6172223] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:25.6182206] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:26.2194265] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:31.6348348] Clicked object WorldObject{x=3814, y=2847, height=0, id=24347, type=10, face=2} option 2
