[ClickObjectLog] [2021-11-29T20:57:01.5371862] Clicked object WorldObject{x=3099, y=3494, height=0, id=10061, type=0, face=0} option 1
[ClickObjectLog] [2021-11-29T20:59:41.9095963] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:00:05.500305] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:00:53.9891182] Clicked object WorldObject{x=3074, y=3495, height=0, id=33320, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T21:00:57.0439204] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-29T21:01:00.6995788] Clicked object WorldObject{x=3074, y=3495, height=0, id=33320, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T21:02:09.3510008] Clicked object WorldObject{x=3068, y=3497, height=0, id=190, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T21:03:07.6149976] Clicked object WorldObject{x=3098, y=3483, height=0, id=409, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T21:05:54.9606742] Clicked object WorldObject{x=3097, y=3485, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:05:58.5656939] Clicked object WorldObject{x=3097, y=3485, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:06:01.572722] Clicked object WorldObject{x=3097, y=3485, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:06:20.2118747] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-29T21:06:29.2379539] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-29T21:06:40.6710478] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:07:08.9442824] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:10:35.2420571] Clicked object WorldObject{x=3870, y=9940, height=3, id=37730, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T21:10:55.7002156] Clicked object WorldObject{x=3870, y=9962, height=3, id=37730, type=10, face=3} option 1
[ClickObjectLog] [2021-11-29T21:11:45.0005437] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:11:54.623599] Clicked object WorldObject{x=1355, y=10259, height=0, id=34553, type=0, face=2} option 1
[ClickObjectLog] [2021-11-29T21:12:30.1158116] Clicked object WorldObject{x=3106, y=3479, height=0, id=13287, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:12:31.3178187] Clicked object WorldObject{x=3109, y=3482, height=0, id=32572, type=10, face=-1} option 1
[ClickObjectLog] [2021-11-29T21:13:09.8140604] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-29T21:13:22.4461397] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-29T21:13:32.088203] Clicked object WorldObject{x=3094, y=3495, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-29T21:13:47.2600671] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:13:57.5700989] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:14:10.9395613] Clicked object WorldObject{x=3095, y=3475, height=0, id=4152, type=10, face=0} option 1
[ClickObjectLog] [2021-11-29T21:14:24.8677586] Clicked object WorldObject{x=3560, y=4006, height=0, id=10562, type=10, face=1} option 1
[ClickObjectLog] [2021-11-29T21:16:49.0669911] Clicked object WorldObject{x=3039, y=4831, height=0, id=13642, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:16:55.1581041] Clicked object WorldObject{x=3039, y=4831, height=0, id=13642, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:17:38.7928876] Clicked object WorldObject{x=3039, y=4831, height=0, id=13642, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:17:39.4060284] Clicked object WorldObject{x=3039, y=4831, height=0, id=13642, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:18:07.2417403] Clicked object WorldObject{x=3039, y=4831, height=0, id=13642, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:18:13.9266107] Clicked object WorldObject{x=3039, y=4831, height=0, id=13642, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:18:19.3942398] Clicked object WorldObject{x=3039, y=4831, height=0, id=13642, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:18:24.8399644] Clicked object WorldObject{x=3039, y=4831, height=0, id=13642, type=10, face=2} option 1
[ClickObjectLog] [2021-11-29T21:22:43.2049736] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-29T21:22:49.2485577] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-29T21:23:08.6675437] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-29T21:23:40.0932215] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-29T21:31:27.9667891] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-29T21:31:40.5988203] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-12-01T18:47:53.6960123] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-12-01T18:48:04.0332621] Clicked object WorldObject{x=3074, y=3495, height=0, id=33320, type=10, face=1} option 1
[ClickObjectLog] [2021-12-01T18:48:13.137848] Clicked object WorldObject{x=3068, y=3497, height=0, id=190, type=10, face=1} option 1
[ClickObjectLog] [2021-12-01T18:48:20.4126788] Clicked object WorldObject{x=3075, y=3502, height=0, id=12768, type=10, face=2} option 1
[ClickObjectLog] [2021-12-01T18:48:25.2441206] Clicked object WorldObject{x=3074, y=3502, height=0, id=30087, type=10, face=2} option 1
[ClickObjectLog] [2021-12-01T18:48:45.238247] Clicked object WorldObject{x=3091, y=3505, height=0, id=30720, type=10, face=0} option 1
